Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
90,0,0,0,151.78734558481247,25.102719484185297,1089.4892421084348,-57.714662304379196
100,0,0,0,155.15636318965548,25.285642764836215,1108.5190412338502,237.54098640449706
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.44802837511438,25.4954816305541,1147.4953980342227,1577.5201900475754
20,0,0,0,169.6300834199125,25.459622557199424,1127.8502689777033,1471.097410880587
30,0,0,0,165.49513497772136,24.56912647620173,1110.1584402408437,1364.6817693144812
40,0,0,0,166.41449337047652,24.27411435608224,1104.438378237719,1246.7322890108014
50,0,0,0,165.17473565055744,25.582064061926946,1128.4179474579294,1152.174307037649
60,0,0,0,159.04264361959267,25.64385647217555,1085.1367094954962,831.5490185153612
70,0,0,0,153.85305687365087,22.982645624490914,1065.3724848508455,55.13723185019373
80,0,0,0,158.53958853960017,25.651089529530125,1100.3793376823792,584.9381582489561
90,0,0,0,153.89629209136407,23.142309036806402,1088.4998231302566,-248.92966807480542
100,0,0,0,150.06937891861486,24.94893835147381,1112.1264241991844,126.96684238848403
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.64390437425953,25.492691669124405,1147.6354953349237,1577.5335938692272
20,0,0,0,170.1479462505181,25.52538884411916,1135.813473899813,1471.1167726683507
30,0,0,0,164.81026585125997,25.291882511123028,1125.6001457448056,1364.698093115345
40,0,0,0,162.26533959386273,25.59711247734717,1123.9276624206316,1258.3516607466997
50,0,0,0,162.53583940946652,23.588051222195897,1090.0464022595534,975.5512180917569
60,0,0,0,160.36266172529105,25.62089718000847,1097.3653647154451,837.1017655861136
70,0,0,0,153.93551379308494,23.6888154867353,1083.5815564124712,218.47621000934126
80,0,0,0,158.6809946583359,23.09317310400665,1066.82940777585,-121.35497594877438
90,0,0,0,154.44432710414043,25.3092006632064,1095.1183707404891,329.6850284761159
100,0,0,0,151.0329353089898,22.262812784095416,1075.1858229846018,-689.9889724393925
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,174.44709094830978,25.487436253715284,1145.939004498929,1577.5679371237347
20,0,0,0,169.8747769327492,25.13964483819538,1125.649525299895,1471.1156482491847
30,0,0,0,168.41996933446637,24.605458226207535,1114.261705030783,1364.7895192521555
40,0,0,0,163.54828327741288,24.22073957355688,1100.2338273894718,1258.3750261443695
50,0,0,0,159.45249404410276,25.628817755533166,1113.965298904987,1152.0140057225176
60,0,0,0,162.29709048620634,23.412804604203004,1084.3027093208461,711.8593280418434
70,0,0,0,157.6681294390268,22.853562736368648,1063.7854567619313,105.11548511510549
80,0,0,0,156.32012288287928,22.692514126677736,1054.838335390545,-112.17726009362279
90,0,0,0,161.2024984794302,23.077721138752423,1074.3829751110734,-245.8154998210388
100,0,0,0,162.34318604005827,25.619098843658833,1077.0666818129068,-363.97009367766265
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.02609154603522,25.476082980824117,1153.1197357352619,1577.6404695383296
20,0,0,0,169.1205624578796,24.92220619924231,1122.9841643338546,1471.0873627814287
30,0,0,0,167.66014039995443,24.974679495831708,1113.1459117370612,1364.7595780432011
40,0,0,0,165.73151022701006,25.56472110149374,1119.8431073456684,1258.4389778577722
50,0,0,0,158.43885826462235,25.64252083087988,1116.7436068146596,1151.9868604660114
60,0,0,0,157.15040801162198,23.007971476608216,1072.7191451675703,479.7789462304539
70,0,0,0,159.67776044697968,25.63704476080585,1108.8968143209522,580.9956668400287
80,0,0,0,157.28662182013994,25.661723927066305,1074.285233907744,207.9605679345482
90,0,0,0,157.8018934876847,22.471172227536954,1063.194556951925,-358.2192417274888
100,0,0,0,154.30813107260883,25.277628654385236,1078.1265223847274,-370.066884116112
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,173.4713873346265,25.49605307456127,1144.16927702503,1577.5189185077377
20,0,0,0,170.44722524620644,25.519124148421636,1135.7833602057146,1471.1394611802923
30,0,0,0,164.76583448685594,25.5709257954061,1111.2692469098167,1364.6654966923363
40,0,0,0,165.9655523513196,25.560060921364503,1123.9685013296053,1258.4541451591083
50,0,0,0,160.8374949660555,24.416714863486035,1095.3439128265616,918.760561605982
60,0,0,0,163.8018840241091,25.59012519708846,1114.3212204423883,1067.1231291612075
