Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao
90,0,0,0,169.06479435216536,22.261278750710282,1089.499597813767,-1919.0136847491526
100,0,0,0,169.09415442703317,24.573495326281357,1083.59400937246,-1949.8145067750322
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.76214927879536,25.469601817935995,1145.003269709492,1641.429684967213
20,0,0,0,175.79465343214298,24.05682293862064,1117.8919862638816,1514.7088004693162
30,0,0,0,174.63714695720822,25.485138475272734,1125.2327610081022,1483.943301310657
40,0,0,0,173.25290050457693,23.76994704581411,1110.641005351318,608.2507389430463
50,0,0,0,172.81306675799732,25.499626406491412,1108.5293791059794,703.442699276409
60,0,0,0,170.9182682579804,22.613604580532687,1082.3547070207949,-661.8344929446096
70,0,0,0,172.4371912034394,25.503705784991922,1102.6778784969144,46.76128564519108
80,0,0,0,172.63287495711393,22.244020938056032,1085.7357682392158,-1862.8741691973428
90,0,0,0,168.94424091957475,25.531661622389702,1081.330661369464,-1424.7955898228897
100,0,0,0,172.05099356127852,25.465852960123875,1090.577531110169,-1297.1714784532935
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,176.76214870556797,25.315088557831224,1138.3391776407775,1641.4296969152274
20,0,0,0,174.77934291574428,25.484424847646594,1133.9477641463493,1620.084660264759
30,0,0,0,174.30919746679598,23.68466896902312,1105.2162954864452,1068.329273173878
40,0,0,0,174.0023980953261,25.490912469297047,1113.4462351625712,779.9637552255053
50,0,0,0,172.9613811745055,25.498868531212313,1111.2342536605572,349.92550902515245
60,0,0,0,173.38638388148752,22.54343005570995,1089.4024352685635,-517.0119383693683
70,0,0,0,169.82421922337906,25.122919844665205,1084.3299640768573,-612.0267880409706
80,0,0,0,168.61026105396078,22.333558859844025,1070.003929052066,-1565.2958579786034
90,0,0,0,170.0574088474594,24.79458045474802,1081.3177743195643,-1530.5690071842962
100,0,0,0,169.4190959411378,22.0214710989258,1087.890059969382,-2247.9892084074427
0,0,0,0,176.76235791172167,25.46960130431744,1159.2542170371787,1662.6834076801754
10,0,0,0,175.76417639264412,25.476975663430714,1148.8749768654454,1641.381538288449
20,0,0,0,174.68779602385797,24.791113252382704,1119.7737279147082,1576.5633798179172
30,0,0,0,174.29227312524458,24.285129424797773,1117.9071707639075,1179.8491882016883
40,0,0,0,175.55701854532984,24.00290555236447,1106.9808441720443,532.8990528375524
50,0,0,0,171.8306378416015,25.50940627674971,1097.3225832195747,391.4716860611195
60,0,0,0,173.79550069827766,22.68180713225209,1095.5284896733392,-301.3115338951428
70,0,0,0,171.93140566397574,25.50688480184557,1103.8752040521936,-56.102782631073154
80,0,0,0,169.58148005545843,25.526814518663624,1089.8963576279518,-449.79555764253973
