Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
40,0,0,0,99.8856137780143,65.92424279763004,749.8406558557995,346.6278923349436,8.078599686856432
50,0,0,0,101.65702208526571,77.95073456232139,812.1987346707648,753.3899904646811,9.645737345375142
60,0,0,0,209.95734702593143,80.37418275418011,1275.6771064693717,-2191.385748593428,10.948669769039189
70,0,0,0,104.81353373140212,66.83089969965691,787.8815503153842,-3176.661940769757,12.076921560653602
80,0,0,0,207.71532532346865,77.95073456232139,1228.5156509279177,-3100.176000661718,12.313440873224911
90,0,0,0,280.33394805603996,77.95073456232139,1553.9982268489377,-3623.1283352484556,13.133783184117126
100,0,0,0,360.57999384572815,100.57426378158878,1999.0870680629382,-6453.416741701366,18.02389893702496
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,97.02680682268033,74.52620596205325,776.4603101729624,3981.8033700256906,9.206747101484464
20,0,0,0,92.85757790808444,71.33178879848211,724.1030247458543,2948.1076386583095,8.801392683005778
30,0,0,0,97.14384353835193,69.41000384448557,754.7762711964145,1348.739524693398,8.182855053277297
40,0,0,0,105.31356604289218,67.25481172478428,791.7283754590075,603.0440798217345,9.645740973047698
50,0,0,0,101.65709577680481,68.06623600345492,772.9165380757134,-490.744832436855,9.645740962359078
60,0,0,0,169.4688868614089,73.6699170523614,1074.8945414748184,-2230.4278065865287,10.928544980811552
70,0,0,0,128.7020558686526,73.88262535615611,887.00925471831,-1105.08362787488,9.645743753582654
80,0,0,0,300.64100719734574,81.52185200787261,1693.9179329966646,-4847.53866391303,15.189602511805953
90,0,0,0,140.54987210835725,72.02703876982766,922.5497586756296,-2631.8549200620237,11.354073937608199
100,0,0,0,200.15352927502806,77.95073456232139,1181.3545352251124,-4869.846578897974,14.930123377627186
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703106186506,74.84287939390322,795.0961403161155,4049.319825958085,9.645737765388864
20,0,0,0,101.6570428790039,77.76790798304104,765.9793955317245,3559.2442381935475,9.645738492046636
30,0,0,0,101.6570692748084,70.84456326755188,716.8787343974461,2066.827353071273,9.6457396158775
40,0,0,0,101.65707388798924,74.96052979616685,751.1412931008671,1739.9833297501978,9.645739809449532
50,0,0,0,110.4433313251256,66.39517765292594,810.9405691561747,-759.6033205592066,9.645742612036798
60,0,0,0,138.41703248892256,77.95073456232139,939.9763255349517,-1016.5901048251064,9.645743885617398
70,0,0,0,173.4454108152234,77.95073456232139,1084.8141079460447,-1961.4340020542668,10.492717411242829
80,0,0,0,150.39031200633497,76.37755395542146,967.9886892009162,-1756.5512160775704,10.273719483281905
90,0,0,0,181.995472484429,77.95073456232139,1095.6272080085719,-2141.2748410630666,10.768317258700705
100,0,0,0,201.64632105827386,77.95073456232139,1174.9092924379875,-3544.6328287329034,12.919153675229508
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65703648466629,77.95073456232139,788.812352880054,4103.116092909904,9.645738063219149
20,0,0,0,94.18789038255238,69.88371223297108,729.2266265331232,2850.287492339325,8.841617818204192
30,0,0,0,101.65708678185109,72.27086764169132,743.3216029042849,1982.6484242082695,9.645740519185363
40,0,0,0,116.34577368375128,68.2682656880188,830.0934449691661,264.6157721220926,8.058009650113334
50,0,0,0,101.65711892731959,70.50316423660415,769.810733344113,-123.84746640396112,9.64574214116823
60,0,0,0,136.68476509933288,67.86294643514462,925.9015687677854,-1762.9863552832305,10.20681607340381
