Pen,B Vmin,B Vmax,B VminVmax,Max PLosses,Min PLosses,Energy Losses,Min Fluxo Subestacao,Max_Cargamento_Trafo_pct
90,0,140,140,132.3427687604841,51.658291509959305,841.0311646753871,-5083.278852584729,9.645732652837568
100,0,128,128,124.7027385093097,53.03285852621509,786.0646056820516,-6651.436240946492,12.368821229387155
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65701037814448,76.74880855971647,752.4132234446198,4138.554492390777,9.645736422418675
20,0,0,0,87.58680956528839,64.3138746953822,633.3698630449553,2966.974657876068,8.221534915567872
30,0,0,0,101.65699959981622,65.98360284217836,666.7776247199494,2621.809696515712,9.645735625334693
40,0,0,0,125.2361754869736,74.6013405749024,880.7555658033674,1224.3294539783487,9.645734479231088
50,0,0,0,76.62724519055122,53.53745024678207,583.6776902089583,-742.7033060328873,5.635765280878608
60,0,0,0,101.65698000463078,55.6547365784027,686.5613683187705,-1409.2318080767864,9.645733887018736
70,0,0,0,101.65698087901652,56.24309067737889,628.7722553500189,-691.9558097313403,9.645733780057904
80,0,0,0,101.65698571256947,58.21255582381446,729.5875691155088,-1676.9607433278454,9.645733761961065
90,0,138,138,113.6342776766426,55.37271420591064,767.7241356164396,-3974.1294172816374,9.645732774298917
100,0,416,416,218.92359172034247,55.55255864423859,1202.0037722169334,-7381.123772197746,13.634374412739469
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,93.88078596760683,72.1970329111672,727.8912467264154,3994.0071583828517,8.950817692240717
20,0,0,0,101.65700599080932,72.32454354721527,711.4707750683839,3230.517959615227,9.645736134966452
30,0,0,0,101.65700106150311,65.89041303835464,661.2120298053096,2523.891445220013,9.64573556824501
40,0,0,0,77.48608842816736,57.74174371538285,585.7617532634365,600.1326234695034,6.574196753863489
50,0,0,0,101.65698603935944,50.07247017320477,548.3022271041467,-426.09180338608775,9.645734180458126
60,0,0,0,100.74207276481036,53.199148916786726,685.9621089570916,-1725.8573152020178,4.93939982056916
70,0,0,0,93.0947300721021,45.404676283580855,605.064996339614,-3661.405351772804,6.871042529604568
80,0,0,0,127.70891576829388,53.12756851056168,820.5753204168944,-3707.479373607978,9.64573281255622
90,0,0,0,101.65697618703112,50.86413470521947,691.1933398202086,-3647.3845113336733,9.645732598947406
100,0,350,350,228.67689298590398,77.95073456232139,1286.8328840816935,-5087.156165593564,9.645732235972671
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700812532248,77.95073456232139,775.8174727016367,4295.913332320878,9.6457366356889
20,0,0,0,101.65700143522828,65.14376981196067,671.7243691512501,3011.8805008261365,9.645735837144278
30,0,0,0,101.65699703555728,58.374668782908515,605.8996399400672,1654.6692052601804,9.645735241581383
40,0,0,0,101.65699620494046,56.729172366734744,587.5543110640601,897.7338844153956,9.64573510541553
50,0,0,0,101.65700803961242,71.73454826914381,706.9805735565402,926.8643961133669,9.645735978093818
60,0,75,75,160.3802195825059,76.6037392036684,1011.1734927241919,340.98501304732736,9.645734153494253
70,0,0,0,101.65698061926875,50.828405219302915,600.4811356865894,-2232.4929939608724,9.64573374001168
80,0,0,0,101.65698403873762,54.99862165244327,599.934676082247,-1425.5773870601838,9.645734016311934
90,0,0,0,101.65696520851483,45.81032328668008,649.4235843777471,-3645.249258792555,9.645732165288983
100,0,16,16,135.37126893488374,46.77172606869771,795.5931525569671,-6605.050827807177,12.258841567507615
0,0,0,0,106.44093926965449,77.95073456232139,844.8968347361584,4463.180573361446,9.69783263185698
10,0,0,0,101.65700875723056,76.78465653808166,753.384170775287,4138.250984392741,9.645736465632899
20,0,0,0,101.6570028149644,70.96159774274034,718.2723763916729,3218.887792739662,9.645735913302046
30,0,0,0,101.65700555443694,66.54256749997528,675.080040232473,1841.877314447544,9.645736192575262
40,0,0,0,101.65699523882287,57.63163499894909,608.3210361770964,1119.105742800809,9.645734952227382
50,0,0,0,101.65698532270864,51.06194612762133,587.4561792797958,-692.7783098326554,9.645733923417803
